SiteID	NitrogenDep	Altitude	Inclination	Precipitation	CACO3	Humidity	Light	Exposition	Z9	Oligo	Eutro	UZL	Z9_Mo	Oligo_Mo	Eutro_Mo	UZL_Mo	Z12	Z12_Mo
569118	11.17687	1284	12.98	1459.1	6	3.0875	3.608695652	139	50	3	19	11	8	1	2	0	0.551820372	0.60240113
743198	11.63233	2077	18.59	1726.1	4	3.22972973	3.725	48	42	20	9	7	27	10	0	1	0.76698867	0.944120067
737174	11.74708	1382	30.72	1108.5	5	2.853658537	3.613636364	247	52	10	14	17	4	0	0	0	0.627508337	0.809322034
641162	12.09003	1748	16.97	1522.3	4	3.394736842	3.585365854	124	45	23	7	19	28	5	1	1	0.718346896	0.844025645
761210	12.61708	1147	13.8	1275.8	3	2.535714286	3.721311475	255	64	34	7	34	8	2	0	1	0.624942792	0.818058918
647182	12.79319	2065	20.39	1808.6	6	3.071428571	3.615384615	137	40	22	4	19	16	5	0	0	0.788729016	0.892350258
719154	12.82248	1851	18.57	1535.7	1	2.827272727	3.678571429	225	63	35	9	24	15	3	1	1	0.771981213	0.849162631
599138	13.34128	1715	11.05	1482.7	3	3.209677419	3.852941176	39	41	8	10	15	19	3	1	1	0.681295502	0.694602467
593146	13.37234	1782	14.04	1607.3	4	3.108695652	3.630136986	NA	77	34	12	27	25	3	1	2	0.722673667	0.705880315
677194	13.63051	1819	23.43	1752.4	4	3.042857143	3.324324324	236	39	29	1	14	17	6	0	0	0.866892619	0.954415523
581142	13.84168	1817	13.52	1778	4	3.066666667	3.636363636	242	38	8	14	10	4	0	3	0	0.5278286	0.538135593
581146	13.90555	1578	33.64	1657	4	3.244897959	2.942307692	84	55	10	15	16	23	8	1	0	0.764328509	0.687634512
647166	14.03585	1476	16.73	1519.2	4	3.021428571	3.662337662	135	82	36	6	50	9	1	1	1	0.674834511	0.783948749
647174	14.19957	1733	9.88	1666.5	4	3.161538462	3.492753623	338	73	31	10	30	27	4	1	0	0.689604346	0.712097074
653138	14.44392	989	7.67	978.7	1	2.620689655	3.647058824	291	35	8	9	13	9	1	0	0	0.672923172	0.850282486
629174	14.51421	1425	24.26	1501.2	6	2.931034483	3.444444444	266	68	29	9	29	12	6	0	1	0.59577582	0.794757197
575138	14.5677	1563	11.98	1657.5	4	3.083333333	3.6	315	42	9	16	14	14	4	2	0	0.578283792	0.590457142
689154	14.67677	1296	25.38	1501.5	1	2.71875	3.605263158	161	42	8	13	13	3	0	3	1	0.655182292	0.86299435
749210	15.16653	1462	12.6	1553.5	3	3.027777778	3.756097561	333	44	11	12	11	13	3	2	0	0.548172812	0.592884658
683198	15.19135	1467	21.43	1665.7	4	3.173469388	3.592592593	322	58	23	9	22	37	9	1	3	0.682055885	0.516104652
605154	15.35677	1408	5.05	1455.6	4	3.135135135	3.627906977	351	45	4	19	14	11	3	1	0	0.53501985	0.667231638
611170	15.42165	1495	27.95	1786.2	6	2.833333333	3.695652174	223	48	17	9	23	15	0	5	1	0.593019626	0.618361558
587150	15.61881	1500	20.54	1585.9	4	3.023076923	3.352941176	295	72	18	20	24	13	1	0	0	0.558206456	0.749511764
557118	15.7132	1445	9.47	1396.9	4	3.422222222	3.530612245	347	53	17	12	24	13	2	1	0	0.646564312	0.632329958
503150	15.75773	1219	13.09	1705.8	6	2.975	3.431818182	36	48	14	10	22	7	1	1	0	0.663621674	0.625686037
575158	15.79227	1046	28.12	1489.3	4	2.743589744	3.681818182	190	50	13	10	20	8	0	3	0	0.555763489	0.675988701
545198	15.94582	1410	11.4	1917.2	6	2.608695652	3.612244898	262	56	24	7	21	7	3	1	1	0.604242929	0.72267958
575154	15.95484	1275	24.36	1427	4	2.661971831	3.576923077	186	81	30	12	44	6	3	1	1	0.57900809	0.763841808
521170	16.13109	1270	3.2	1699.1	6	2.844827586	3.676470588	26	37	7	11	13	4	0	2	0	0.529512214	0.481638418
533190	16.39897	1411	15.62	1911.1	6	2.744897959	3.529411765	153	56	24	7	27	4	0	0	0	0.666092345	0.624293785
563246	16.4718	764	20.2	1283.1	4	3.067567568	3.225	279	43	8	12	12	11	0	4	1	0.595319762	0.694140252
581246	16.47553	759	14.98	1298.3	4	2.944444444	3.017857143	322	59	9	12	11	20	5	1	0	0.697489941	0.599857601
593170	16.48908	1379	20.02	1804.9	4	3.326923077	3.456140351	112	63	15	18	22	27	7	1	0	0.577069953	0.599634893
611154	16.50119	1483	21.95	1443.1	4	2.9	3.695652174	172	48	14	13	16	9	0	4	0	0.551186505	0.600847458
689190	16.63631	1314	31.75	1606	4	3.22	3.290909091	98	58	13	15	20	26	3	2	1	0.615781138	0.663015558
539174	16.69884	610	2.86	1041.7	2	2.944444444	3.538461538	270	41	1	23	6	9	1	3	0	0.702605044	0.692688997
509166	16.98349	1115	2.86	1604.6	6	2.933333333	3.71875	NA	35	5	13	7	7	1	2	2	0.509402566	0.653954802
581150	17.08184	1189	16.84	1503	4	3.171875	3.540540541	128	42	2	15	12	2	0	1	0	0.561912325	0.389830508
581170	17.12209	1450	20	1911.2	2	3.828125	3.314285714	344	40	8	15	20	8	0	1	0	0.76981875	0.718018563
593238	17.16617	1105	0	1622.3	6	2.909090909	3.217391304	NA	54	13	12	12	19	8	1	1	0.619298961	0.75070384
695202	17.31151	1671	14.1	2053.7	4	3.5	3.731707317	354	43	17	11	17	7	1	2	1	0.67818404	0.645661824
593154	17.41578	1288	23.13	1505.6	6	2.806818182	3.68	159	51	11	12	20	5	0	3	0	0.543354963	0.536016949
599174	17.47902	1419	19.4	1734.1	2	3.08974359	3.418604651	297	48	18	10	19	16	4	1	0	0.634472318	0.713789224
617246	17.48731	1146	34.59	1637	6	2.913793103	3.515151515	223	36	3	15	7	15	3	0	0	0.5372159	0.814100448
539166	17.60993	621	3.2	1055.6	3	3.22	3.222222222	296	36	2	12	3	20	1	3	0	0.735231099	0.667145214
779198	17.691	972	21.97	1184.2	2	2.905405405	3.43902439	343	46	7	16	10	14	1	2	0	0.588593658	0.589476743
647190	17.80441	1341	14.04	1625.5	4	3.391304348	3.127659574	90	53	21	5	17	20	9	1	2	0.763123708	0.738813641
569154	17.81059	1197	21.43	1526.6	4	2.975	3.673913043	170	50	3	21	13	6	0	2	0	0.51638564	0.586864407
605166	18.09046	1240	34.66	1429.4	6	3.13	3.314814815	347	60	17	11	20	22	7	0	0	0.647837965	0.69758409
695210	18.37932	1363	16.25	2028	6	3.380434783	3.24	30	58	4	24	9	24	4	3	1	0.58479543	0.495941236
731198	18.51058	1372	19.69	1768.2	4	3.09375	3.5	114	35	2	18	8	10	0	4	2	0.561013039	0.56269505
653202	18.63377	1318	27.58	1785.1	3	2.669491525	3.571428571	158	66	40	1	35	27	8	0	4	0.663318947	0.698062428
707206	18.76759	1588	11.4	2184.7	4	3.058823529	3.710526316	209	41	15	11	14	15	6	1	3	0.58234181	0.808031258
509162	18.81017	1103	13.09	1576.9	6	2.769230769	3.720930233	323	49	7	16	17	4	0	1	0	0.567685628	0.629943503
557130	18.87635	1011	27.2	1291	4	2.488888889	3.66	131	55	13	11	20	6	0	3	1	0.737171691	0.709745763
551166	19.00256	627	11.18	1096.6	3	2.972222222	3.710526316	18	39	1	22	5	7	0	3	1	0.588082268	0.636299435
677242	19.18791	542	6.76	1113	2	2.840909091	3.744680851	108	47	1	31	5	1	0	0	0	0.691387001	NA
545154	19.53938	814	5.05	1346.4	2	3	3.714285714	98	38	2	17	10	1	0	1	0	0.547653468	0.389830508
647258	19.68427	493	9.26	1109.5	4	2.720588235	3.444444444	237	40	11	10	17	6	2	1	1	0.812961638	0.818220339
683202	19.74626	769	15.94	1558.6	6	2.8875	3.69047619	246	46	2	26	9	14	3	4	2	0.642053476	0.68783721
725206	20.07408	570	25.38	1668.8	4	3.089285714	3.233333333	341	37	2	15	7	6	1	1	0	0.569179577	0.611299435
593226	20.142	686	9.52	1377.2	2	2.885714286	3.694444444	116	37	1	24	5	0	0	0	0	0.698694913	NA
773206	20.2243	929	18.78	1208.6	4	3.066666667	3.276595745	216	48	3	24	10	16	2	3	0	0.614469311	0.630136107
587138	20.48985	1189	11.05	1484.5	2	3.14516129	3.588235294	309	35	1	20	10	5	0	3	0	0.568251549	0.623163842
713218	20.5317	1067	20.45	1940.2	4	3.047619048	3.408163265	230	53	8	16	14	16	0	3	1	0.504514238	0.62904499
695190	20.61591	1246	6.38	1591.3	2	3	3.705882353	333	37	1	21	6	3	0	1	0	0.586404156	0.542372881
533194	20.65487	802	12.98	1422.3	3	2.666666667	3.75	167	36	5	9	12	7	1	2	0	0.58689975	0.724293785
557174	20.69878	635	17.88	1086.1	3	3.05	3.65625	305	35	1	18	5	3	0	2	1	0.537191003	0.601694915
551210	20.71205	1072	12.6	1511.3	6	2.961538462	3.295454545	153	56	6	19	9	17	6	2	0	0.680535962	0.76016896
731230	20.75184	1080	6.14	2134.7	4	3.074468085	3.365384615	324	59	11	20	19	27	6	3	1	0.582881141	0.437831105
551150	20.80639	759	13.52	1396.2	3	2.817073171	3.80952381	278	46	3	23	13	6	0	3	2	0.651079339	0.751129944
749226	20.83583	1013	19.47	1613	4	3.225806452	3.235294118	8	39	2	17	9	11	0	3	0	0.556434414	0.539652273
665190	20.85265	854	25.68	1443.2	6	3.094594595	3.536585366	242	44	1	24	6	18	3	4	1	0.587191551	0.610967564
719238	21.31259	1115	17.75	1996.6	3	2.941666667	3.333333333	321	68	21	13	23	37	7	2	4	0.544685415	0.472752537
635186	21.4128	1166	9.26	1618	3	3.5	3.4	212	39	5	13	15	8	1	0	1	0.605380663	0.769652946
671198	21.46393	1111	32.73	1512.3	6	2.79787234	3.58490566	166	56	17	12	25	10	2	3	1	0.532445164	0.575867635
695266	21.47702	424	0	1001.3	3	3.025641026	3.658536585	NA	42	1	26	6	0	0	0	0	0.626019316	NA
617178	21.63351	851	13.27	1355.7	3	3.193548387	3.294117647	327	35	2	18	7	9	0	2	0	0.604741242	0.60769774
701202	21.69789	1237	18.78	1976	6	3.234375	3.144927536	36	73	17	28	17	35	8	3	0	0.568477558	0.510882079
551214	21.70824	1060	0	1467.5	6	3.015625	3.638888889	NA	40	6	14	10	2	0	0	0	0.510046224	0.661016949
569226	21.90264	1226	9.04	1680.4	6	2.75	3.84375	135	35	4	13	9	8	1	3	2	0.559361174	0.688175948
587162	22.51999	984	14.3	1510.9	6	3.02	3.481481481	191	57	3	29	10	4	0	4	1	0.553721662	0.592514124
707242	22.58891	786	14.85	1561.7	3	2.984375	3.6	225	36	3	18	6	1	0	1	0	0.555220581	0.389830508
683222	22.7422	923	17.39	1718.5	4	3.010204082	3.339622642	298	58	8	25	16	25	5	4	2	0.568403324	0.58089826
725222	23.23447	495	23.59	1736.9	4	2.72972973	3.619047619	156	43	10	12	13	6	0	1	1	0.607800019	0.749293785
605178	23.46293	671	8.11	1188.9	4	3.14893617	3.411764706	37	52	3	28	9	8	2	3	0	0.607705465	0.671489104
629194	23.63309	1004	18.94	1679.3	3	2.948275862	3.558823529	79	35	6	13	9	10	0	3	0	0.549340508	0.573516949
677202	23.85358	680	28.12	1356.8	2	3.132352941	3.205128205	10	41	5	16	8	14	1	4	0	0.555672118	0.53567727
707214	24.00407	911	3.2	1948.6	3	3.102564103	3.5	243	46	1	24	9	4	0	2	0	0.533518441	0.620762712
719242	24.03296	806	27.58	1649.5	3	3.157142857	3.333333333	111	41	1	18	5	8	0	2	0	0.616174689	0.545056497
677214	24.35946	647	21.67	1463.7	2	3.120689655	3.4375	282	37	1	16	3	4	0	2	0	0.547895359	0.516242938
719246	24.8004	855	19.47	1597	3	3.044117647	3.513513514	315	42	1	21	4	4	0	3	1	0.551846292	0.559322034
629190	26.02399	971	13.8	1601.6	3	3	3.552631579	255	39	4	17	6	7	0	3	1	0.594812384	0.698728814
737242	26.0563	1050	14.04	1951.6	3	3.224137931	3.451612903	90	36	3	18	8	5	0	4	0	0.598007939	0.584887006
563162	26.15638	839	3.04	1493.5	2	3.171875	3.323529412	315	36	2	20	5	2	0	2	0	0.61098486	0.593220339
689230	26.48454	658	3.2	1491.8	2	3.442857143	3.3	63	40	4	15	15	8	0	2	0	0.686349324	0.674495561
629202	26.66672	849	23.03	1508.7	3	3.016666667	3.59375	270	40	5	13	7	5	0	2	1	0.630568953	0.745762712
641214	26.93398	731	19.56	1367.2	3	2.941176471	3.777777778	140	36	2	23	5	6	1	2	2	0.664349488	0.824293785
731254	27.71246	590	8.29	1251.1	2	3.274193548	3.485714286	329	35	1	17	6	10	0	5	2	0.602357661	0.592998386
557154	27.74471	815	5.05	1448.5	2	3.022222222	3.612244898	278	53	4	27	9	11	0	4	2	0.54640876	0.606739306
713234	27.75615	579	11.18	1548.1	4	3	3.605263158	161	39	7	14	9	2	0	2	0	0.538028728	0.449152542
551154	28.28761	732	8.11	1321.6	4	2.857142857	3.682926829	142	45	7	14	15	2	0	2	0	0.562593655	0.449152542
623218	28.29045	732	12.6	1289.8	4	2.967741935	3.657142857	153	37	2	17	7	10	0	2	0	0.569268921	0.642836965
713254	28.95509	667	9.26	1354.5	3	2.944444444	3.8	355	36	0	15	6	5	1	2	1	0.587713894	0.751129944
737246	29.63313	941	10.22	1706.2	4	3.303571429	3.516129032	33	38	1	17	5	7	0	4	2	0.587258398	0.576049233
563218	30.50584	1214	21.95	1545	4	2.821428571	3.606060606	172	36	4	14	8	5	0	2	1	0.557818493	0.699152542
719266	41.69736	483	0	1034	2	3.066666667	3.484848485	NA	35	0	22	4	3	0	2	0	0.648578067	0.536723164
