Ragweed	Year	DayinSeason	Temperature	Rain	WindSpeed
74	1992	34	67	1	13.2
19	1992	35	60.7778	0	8.8
62	1992	36	63.0556	1	14.6
60	1992	37	60.8125	1	5.2
60	1992	38	61.0556	1	8.6
33	1992	39	63.8889	1	10
52	1992	40	69.4118	1	8.4
48	1992	41	74.7059	1	7.6
36	1992	42	72.8125	1	12.2
53	1992	43	74.2353	1	8.6
38	1992	44	69.3125	0	13
14	1992	45	57	1	6.2
11	1992	46	57.8889	1	10
10	1992	47	67.2353	1	10.6
11	1992	48	60.25	1	16.2
3	1992	49	49.8889	1	9.6
5	1992	50	54.8824	1	11
6	1992	51	58.9375	1	8
1	1992	52	58.6111	1	7.2
1	1992	53	61.1111	1	12.8
6	1992	54	54.0556	1	14
3	1992	55	49.6471	1	8.6
1	1992	56	52.0588	1	5.2
1	1992	57	55.9286	1	7.2
13	1992	58	63.5556	1	10
8	1992	59	67.2941	1	8
5	1992	60	61.7647	1	13.8
3	1992	61	54.8235	1	5.2
3	1992	62	53.1765	1	6
13	1992	63	56.1111	1	8
13	1992	64	57.4118	1	12.8
18	1992	65	50.8125	1	13.6
3	1992	66	53.8824	1	10.4
3	1992	67	51.4375	0	9.8
0	1992	68	50.6	1	14
9	1992	69	47.4375	1	14.4
4	1992	70	55.0588	1	6
0	1992	71	54.9375	0	3.6
3	1992	72	49.1176	1	14.6
0	1992	73	42.1111	1	11.2
0	1992	74	39.2353	0	10.4
0	1992	75	38.2353	1	4
0	1992	76	37.3125	0	12.8
0	1992	77	45.8824	1	0
0	1992	78	47.2353	1	10.6
0	1992	79	61	1	9.8
0	1992	80	59.4706	1	9.2
0	1992	81	48.9375	1	5.5
0	1992	82	52.7222	1	11.4
1	1993	1	73.5556	1	13.8
5	1993	2	72.2778	1	12.6
1	1993	3	65.8	1	13.4
5	1993	4	63.1176	1	7.8
4	1993	5	63.1111	0	8.2
1	1993	6	66.7647	1	5.8
3	1993	7	69.3889	1	4.6
10	1993	8	72.5294	1	10.2
11	1993	9	73.8235	0	9.4
8	1993	10	76.7778	1	3.4
19	1993	11	77.9444	1	8.4
10	1993	12	79	0	1.6
39	1993	13	79.2222	1	1.6
108	1993	14	77.4444	1	7
74	1993	15	77.125	1	9.4
69	1993	16	76.5	1	6.4
162	1993	17	78.7059	1	5.6
151	1993	18	76.6111	1	7.8
146	1993	19	76.9412	1	13.6
202	1993	20	71.8235	1	7.8
159	1993	21	71.5625	1	7.6
362	1993	22	78.3333	1	11.2
185	1993	23	79.7778	1	9.2
207	1993	24	82	1	6.8
348	1993	25	81.3333	1	9.2
212	1993	26	82.8235	1	9.2
94	1993	27	74.5882	1	7.2
36	1993	28	67.3889	0	8.6
265	1993	29	76.7222	1	9.4
198	1993	30	72.1333	1	11.4
63	1993	31	68.1875	1	5.8
39	1993	32	66.875	0	8.4
43	1993	33	68.8824	0	5.8
82	1993	34	64	1	11.2
77	1993	35	67.0588	1	5
70	1993	36	64.8571	1	6.6
27	1993	37	63.3529	1	5.8
13	1993	38	60.8824	0	5.6
162	1993	39	64.3889	1	14.8
48	1993	40	59.2941	1	14
41	1993	41	56.0625	1	7.4
81	1993	42	63.3333	1	11.4
71	1993	43	74.1765	1	11.4
53	1993	44	73	1	14.6
15	1993	45	56.2778	1	10.8
4	1993	46	53.6923	1	4.2
4	1993	47	57.2941	1	1.2
4	1993	48	60.0556	1	7.6
8	1993	49	58.9333	1	9.4
16	1993	50	57.9375	1	10.6
0	1993	51	58.3889	1	7
4	1993	52	60.8824	1	10.4
13	1993	53	62.4286	1	9.6
4	1993	54	56.0625	1	5.6
0	1993	55	55.7778	1	9.6
0	1993	56	56.6111	1	8
0	1993	57	53.1765	0	6.6
6	1993	58	48.2353	1	13
0	1993	59	45.5294	0	4.8
4	1993	60	41.9412	1	9
8	1993	61	55.5882	1	12.4
3	1993	62	50.9444	1	12.4
6	1993	63	51.9375	1	13.6
4	1993	64	58.2778	1	10.4
1	1993	65	49.0556	1	8.4
1	1993	66	57.4444	1	11
3	1993	67	68.7222	1	10.2
9	1993	68	68.3889	1	9
0	1993	69	45.6471	1	13.2
0	1993	70	41.9412	1	9
0	1993	71	45.4706	1	9.8
0	1993	72	46.8824	1	8.8
0	1993	73	41.5882	1	5.8
0	1993	74	45.4118	1	6.8
0	1993	75	57.2941	1	7.8
0	1993	76	59.7778	0	8.8
0	1993	77	56.1667	0	10.6
0	1993	78	49.7778	1	0
0	1993	79	54.875	1	6.4
0	1993	80	53.4444	1	7.2
1	1993	81	48.1111	1	16.6
0	1993	82	45.5556	1	10.6
1	1993	83	49.9412	1	9.8
1	1993	84	58.7647	1	12.4
1	1993	85	56.6111	1	8.4
1	1993	86	54.5333	1	10.8
0	1993	87	45.1667	1	11.2
3	1994	1	61.7778	1	7.2
8	1994	2	62.6667	0	6
1	1994	3	66.8125	1	3
8	1994	4	72.2941	0	10
24	1994	5	65.5333	1	11.6
18	1994	6	66.4118	1	10.4
20	1994	7	68.1765	1	3.4
51	1994	8	71.8889	1	5.2
90	1994	9	73.3333	1	5.8
34	1994	10	74.8824	0	12.2
18	1994	11	70.6471	1	11.6
75	1994	12	67.7059	1	7.6
29	1994	13	71.2778	1	2
105	1994	14	72.8889	1	8.2
205	1994	15	75.5	1	13
201	1994	16	78.8824	1	9
120	1994	17	76.6471	1	7.4
147	1994	20	67	1	10.6
96	1994	21	62.5	1	9.8
85	1994	22	64.8889	1	11.6
57	1994	23	59.2778	1	10.2
24	1994	24	60.3889	1	0
29	1994	25	61.8333	1	1.8
133	1994	26	59.4667	1	8
133	1994	27	64.7222	1	9.2
47	1994	28	67.4444	1	7.8
56	1994	29	67	1	8.6
86	1994	30	70	1	12.2
77	1994	31	73.8125	1	5.4
13	1994	34	73.2941	1	7.6
54	1994	35	76.0556	1	9.2
133	1994	36	78	1	10.4
62	1994	37	79.5714	1	13.6
75	1994	38	76.8824	1	11.2
25	1994	39	69.1111	1	10
9	1994	40	66.6667	1	3.2
4	1994	41	68	1	5.4
5	1994	42	71.4118	1	6.8
3	1994	43	70.5	1	7
23	1994	44	69.3529	1	10.2
5	1994	45	68.5556	1	10
5	1994	46	67.0556	1	9.2
4	1994	47	65.1176	1	4
1	1994	48	56.8125	1	11
1	1994	49	55.2353	0	10.8
5	1994	50	54.7222	0	12.6
3	1994	51	56.4706	1	11.8
0	1994	52	55.4706	1	9.4
0	1994	53	58.2353	1	10
0	1994	54	52.9375	1	8.8
0	1994	55	53.3333	1	9.4
0	1994	56	54.1333	1	11
0	1994	57	52.1667	1	4
0	1994	58	58.9286	1	10.8
0	1994	59	65.2667	1	13.4
0	1994	60	66.8235	1	10.8
0	1994	61	51.1111	1	13.4
0	1994	62	49.1111	1	6
1	1994	63	49.0588	1	8
0	1994	64	54.1875	1	6.6
1	1994	65	56.5556	1	5.4
1	1994	66	58.7647	1	7
0	1994	67	57	1	9.6
4	1994	68	62.4444	1	8
4	1994	69	66.0588	1	10.6
0	1994	70	62.1765	0	10.2
0	1994	71	61.2222	1	8.4
0	1994	72	56.1111	1	10
0	1994	73	55.1765	1	8.8
0	1994	74	56.0556	1	7
1	1994	75	53.4444	1	13.6
0	1994	76	46.7647	1	13.4
0	1994	77	42.8235	1	10.4
0	1994	78	44.4444	1	5.8
0	1994	79	44.8889	1	7.2
