ROCK    	LITTER  	ML	BARESOIL	FallPrec	SprPrec 	SumPrec 	WinPrec 	FallTmax	SprTmax 	SumTmax 	WinTmax 	FallTmin	SprTmin 	SumTmin 	WinTmin 	PCTSAND	PCTSILT	PCTCLAY	PCTOrgC	ELEV
4	30	5	11	9.899999619	107.9499969	119.1200027	169.1600037	16.20999908	11.22000027	22.32999992	-2.349999905	-2.230000019	-4.059999943	3.940000057	-14.48999977	20	35	45	0.05784	6732
5	32	0	30	41.13999939	101.8499985	134.8699951	89.66000366	13.35999966	12.02999973	21.54000092	-0.02	-3.109999895	-3.269999981	3.380000114	-12.18999958	28	36	36	0.0564	6680
8	29	0	27	32	65.77999878	125.2200012	120.1399994	15.18000031	14.67000008	24.53000069	1.419999957	-1.929999948	-1.610000014	4.71999979	-11.57999992	32	33	35	0.04641	6240
4	40	0	3	68.31999969	114.0400009	204.9700012	132.0800018	18.21999931	17.79000092	22.79999924	1.889999986	3.24000001	3.700000048	8.229999542	-7.96999979	18	46	36	0.05702	3170
5	28	0	1	41.65000153	80.26000214	110.4899979	143.5099945	14.88000011	10.68999958	22.23999977	2.089999914	-2.630000114	-2.970000029	3.210000038	-11.36999989	20	35	45	0.05784	6732
24	24	2	29	99.55999756	56.13000107	94.98999786	107.4400024	14.57999992	15.22999954	24.87000084	1.179999948	-0.159999996	0.189999998	6.409999847	-10.73999977	20	34	46	0.0616	5465
10.5	41.5	0	29	10.15999985	57.15000153	95.25	60.70000076	17.40999985	16.92000008	26.79999924	3.650000095	0.300000012	0.649999976	6.960000038	-9.18999958	20	34	46	0.0616	5465
26.5	14	0	17.5	21.07999992	60.45000076	125.2200012	88.38999939	13.46000004	12.96000004	22.72999954	-0.159999996	-3.470000029	-3.140000105	3.099999905	-12.93000031	14	46	40	0.0363	6767
41	12	0	7	68.31999969	65.77999878	88.63999939	116.8399963	13.35999966	10.22000027	22.71999931	-1.159999967	-2.190000057	-4.179999828	3.440000057	-11.80000019	20	42	38	0.04974	6725
59	9	5	5	29.20999908	36.06000137	72.38999939	79.75	15.39999962	10.01000023	22.35000038	-1.129999995	-1.830000043	-4.960000038	3.24000001	-13.14999962	20	42	38	0.04974	6725
0	14.5	0	35	32	65.77999878	125.2200012	120.1399994	15.06999969	14.56000042	24.42000008	1.320000052	-2.039999962	-1.720000029	4.619999886	-11.68000031	30	32	38	0.05312	6275
4	47	0	28	54.61000061	99.55999756	46.22000122	149.6000061	18.67000008	16.26000023	27.71999931	0.720000029	2.420000076	1.730000019	8.470000267	-10.09000015	18	46	36	0.05702	3170
0	56	4	11	46.47999954	103.8799973	136.8999939	109.7200012	19.86000061	14.93000031	26.5	3.99000001	3.809999943	1.200000048	9.340000153	-5.46999979	999	999	999	999	3150
0	30	7	3	77.72000122	65.01999664	149.6000061	206.75	17.72999954	16.78000069	26.47999954	3.440000057	3.619999886	2.289999962	10.11999989	-5.659999847	10	46	44	0.09604	2879
18	25	0	33	54.86000061	58.66999817	70.34999847	90.66999817	17.18000031	14.01000023	26.68000031	2.470000029	1.450000048	-0.519999981	7.21999979	-8.270000458	20	34	46	0.0616	5465
56	17	0	16	33.77999878	107.9499969	181.6100006	105.1500015	13	11.78999996	21.12000084	-0.319999993	-3.279999971	-3.430000067	3.109999895	-12.22999954	14	46	40	0.0363	6767
14	15	0	14	72.63999939	23.87000084	91.44000244	143	14.97999954	11.81000042	24.36000061	0.349999994	-0.720000029	-2.779999971	4.880000114	-10.42000008	32	33	35	0.04641	6240
19	28	0	14	24.37999916	87.62999725	81.77999878	45.97000122	18.51000023	14.35000038	26.04000092	5.739999771	1.110000014	0.75999999	6.920000076	-7.539999962	20	34	46	0.0616	5465
8	29	7	5	48.50999832	77.47000122	108.7099991	105.1500015	15.35999966	9.899999619	22.44000053	-1.149999976	-1.980000019	-4.949999809	3.25	-13.31000042	20	35	45	0.05784	6732
6	19	0	13	72.63999939	23.87000084	91.44000244	143	13.65999985	10.51000023	22.96999931	-0.889999986	-2.029999971	-4.119999886	3.519999981	-11.71000004	28	36	36	0.0564	6680
0	28	2	17	48.50999832	77.47000122	108.7099991	105.1500015	15.51000023	10.05000019	22.60000038	-1.00999999	-1.830000043	-4.809999943	3.400000095	-13.17000008	28	36	36	0.0564	6680
20	26	1	27	153.4100037	118.6100006	161.7899933	213.8600006	12.27000046	12.81999969	22.48999977	-1.070000052	-2.420000076	-2.140000105	4.059999943	-13.02000046	30	32	38	0.05312	6275
0	34	5	15	84.58000183	107.1800003	67.55999756	76.95999908	19.67000008	19.35000038	29.27000046	6.489999771	3.859999895	4.5	10.5	-4.25	0	46	54	0.06402	2730
12	41	0	7	83.81999969	39.36999893	94.98999786	58.66999817	15.97999954	17.26000023	27.84000015	3.970000029	1.330000043	0.949999988	8.340000153	-6.840000153	18	46	36	0.05702	3170
7	58	0	3	60.18999863	134.6199951	160.7799988	75.69000244	18.09000015	17.87000084	27.13999939	4.929999828	4.090000153	2.74000001	10.02000046	-4.869999886	18	46	36	0.05702	3170
0	30	2	10	38.34999847	241.3000031	177.2899933	132.5800018	20.57999992	18.42000008	24.62999916	2.980000019	3.180000067	3.119999886	7.840000153	-6.579999924	999	999	999	999	3150
21	16	1	41	43.43000031	65.01999664	112.2600021	76.69999695	18.45999908	12.77999973	25.53000069	3.109999895	1.25	-1.850000024	7.139999866	-8.479999542	20	34	46	0.0616	5465
25	26	0	33	30.21999931	75.43000031	125.4700012	39.61999893	16.97999954	15.78999996	25.19000053	3.49000001	0.50999999	0.379999995	6.989999771	-8.520000458	20	34	46	0.0616	5465
53	10	0	20	33.77999878	107.9499969	181.6100006	105.1500015	13.14000034	11.92000008	21.26000023	-0.200000003	-3.160000086	-3.299999952	3.24000001	-12.10999966	20	42	38	0.04974	6725
25	24	2	20	153.4100037	118.6100006	161.7899933	213.8600006	12.39000034	12.93000031	22.61000061	-0.959999979	-2.319999933	-2.029999971	4.170000076	-12.92000008	32	33	35	0.04641	6240
23	15	4	20	75.43000031	77.72000122	151.3800049	170.1799927	16.10000038	10.67000008	23.15999985	0.850000024	-1	-4.010000229	4.829999924	-10.77999973	32	33	35	0.04641	6240
1	49	7	16	60.18999863	134.6199951	160.7799988	75.69000244	19.32999992	19.15999985	28.45999908	6.139999866	5.360000134	3.980000019	11.30000019	-3.619999886	0	46	54	0.06402	2730
1	38	0	25	55.88000107	65.01999664	184.9100037	111.5	20.76000023	15.27000046	25.95999908	4.679999828	4.059999943	0.629999995	8.420000076	-5.440000057	18	46	36	0.05702	3170
0	38	0	15	34.02999878	108.9599991	141.7299957	109.2200012	19.12999916	19.06999969	26.40999985	6.090000153	2.059999943	2.74000001	9.149999619	-3.970000029	999	999	999	999	3150
0	40	0	2	57.40000153	149.8600006	168.3999939	140.7100067	17.82999992	15.96000004	29.20000076	4.889999866	3.140000105	1.950000048	9.970000267	-4.460000038	10	46	44	0.09604	2879
0	34	1	3	52.56999969	74.93000031	129.5399933	162.0500031	18.95999908	16.18000031	28.29000092	4.21999979	3.730000019	2.599999905	9.770000458	-3.99000001	10	46	44	0.09604	2879
0	28	15	5	70.61000061	124.4599991	172.9700012	175.5099945	18.11000061	15.65999985	26.55999947	4.300000191	3.160000086	3.200000048	9.06000042	-5.130000114	10	46	44	0.09604	2879
59	5	3	13	143.5099945	73.40000153	125.7300034	173.4799957	10.77999973	11.38000011	20.95000076	-2.460000038	-3.779999971	-3.450000048	2.680000067	-14.26000023	20	42	38	0.04974	6725
7	20	0	37	153.4100037	118.6100006	161.7899933	213.8600006	11.07999992	11.59000015	21.23999977	-2.230000019	-3.609999895	-3.349999905	2.859999895	-14.22000027	28	36	36	0.0564	6680
11	23	0	0	72.63999939	23.87000084	91.44000244	143	14.86999989	11.69999981	24.23999977	0.239999995	-0.829999983	-2.890000105	4.769999981	-10.52000046	30	32	38	0.05312	6275
27	30	0	26	30.21999931	75.43000031	125.4700012	39.61999893	16.95999908	15.77000046	25.17000008	3.470000029	0.49000001	0.360000014	6.96999979	-8.539999962	24	30	46	0.03459	5472
30	24	0	30	43.43000031	65.01999664	112.2600021	76.69999695	18.44000053	12.76000023	25.51000023	3.089999914	1.230000019	-1.860000014	7.119999886	-8.5	24	30	46	0.03459	5472
45	7	0	23	143.5099945	73.40000153	125.7300034	173.4799957	10.64999962	11.25	20.80999947	-2.579999924	-3.910000086	-3.579999924	2.549999952	-14.38000011	14	46	40	0.0363	6767
5	29	3	12	75.43000031	77.72000122	151.3800049	170.1799927	14.72000027	9.399999619	21.75	-0.439999998	-2.319999933	-5.28000021	3.49000001	-12.11999989	28	36	36	0.0564	6680
2	32	6	4	9.899999619	107.9499969	119.1200027	169.1600037	16.36000061	11.36999989	22.48999977	-2.210000038	-2.079999924	-3.920000076	4.090000153	-14.35000038	28	36	36	0.0564	6680
15	21	7	7	48.50999832	77.47000122	108.7099991	105.1500015	16.80999947	11.35000038	23.87999916	0.189999998	-0.560000002	-3.619999886	4.610000134	-11.93999958	30	32	38	0.05312	6275
1	81	0	11	77.72000122	65.01999664	149.6000061	206.75	18.09000015	17.18000031	26.87999916	3.779999971	4.019999981	2.690000057	10.52000046	-5.28000021	0	46	54	0.06402	2730
2	52	0	4	77.72000122	65.01999664	149.6000061	206.75	16.87000084	15.92000008	25.59000015	2.619999886	2.769999981	1.450000048	9.25	-6.46999979	18	46	36	0.05702	3170
0	37	3	15	63.5	120.9000015	92.44999695	132.0800018	16.98999977	15.14999962	26.63999939	3.819999933	2.170000076	1.850000024	8.670000076	-5.519999981	999	999	999	999	3150
0	17	0	14	84.58000183	107.1800003	67.55999756	76.95999908	18.36000061	18.04999924	27.93000031	5.230000019	2.619999886	3.25999999	9.220000267	-5.449999809	999	999	999	999	3150
0	52	8	2	43.68000031	93.20999908	125.9800034	168.3999939	18.94000053	15.65999985	26.78000069	4.400000095	3.299999952	1.090000033	9.770000458	-5.289999962	10	46	44	0.09604	2879
7	29	1	26	75.43000031	77.72000122	151.3800049	170.1799927	15.97999954	10.56000042	23.04000092	0.74000001	-1.100000024	-4.119999886	4.71999979	-10.88000011	30	32	38	0.05312	6275
26	20	0	28	99.55999756	56.13000107	94.98999786	107.4400024	14.56000042	15.21000004	24.85000038	1.159999967	-0.180000007	0.180000007	6.400000095	-10.76000023	24	30	46	0.03459	5472
45	9	1	30	56.38000107	83.05000305	121.1500015	117.5999985	14.55000019	9.039999962	21.55999947	-0.589999974	-2.420000076	-5.460000038	3.380000114	-12.07999992	20	42	38	0.04974	6725
0	46	1	19	139.6999969	71.37000275	139.6999969	134.1100006	16.45999908	18.47999954	26.94000053	1.860000014	2.940000057	2.380000114	7.699999809	-8.18999958	999	999	999	999	3150
0	45	0	12	77.72000122	65.01999664	149.6000061	206.75	16.78000069	15.89000034	25.54000092	2.539999962	2.769999981	1.460000038	9.239999771	-6.460000038	999	999	999	999	3150
0	32	1	37	39.86999893	95.75	50.02999878	133.8500061	18.71999931	17.47999954	27.64999962	5.590000153	1.889999986	2.470000029	8.529999733	-3.369999886	999	999	999	999	3150
0	51	14	3	106.9300003	79.5	187.4499969	154.1699982	16.72999954	20.54000092	26.98999977	4.539999962	3.880000114	4.239999771	9.210000038	-5.110000134	10	46	44	0.09604	2879
0	46	0	10	60.18999863	134.6199951	160.7799988	75.69000244	18.95999908	18.75	28.04000092	5.78000021	4.949999809	3.589999914	10.89999962	-4.039999962	10	46	44	0.09604	2879
26	18	2	42	34.29000092	31.48999977	62.99000168	43.68000031	19.30999947	13.88000011	26.29000092	2.559999943	1.879999995	-1.350000024	6.980000019	-9.590000153	20	34	46	0.0616	5465
28	14	0	37	56.38000107	83.05000305	121.1500015	117.5999985	14.42000008	8.909999847	21.42000008	-0.720000029	-2.549999952	-5.590000153	3.25	-12.19999981	14	46	40	0.0363	6767
6	40	0	0	41.65000153	80.26000214	110.4899979	143.5099945	16.23999977	12.02999973	23.63999939	3.420000076	-1.25	-1.600000024	4.570000172	-9.970000267	30	32	38	0.05312	6275
0	36	16	1	91.94000244	93.72000122	227.5800018	89.40000153	18.07999992	18.04999924	26.81999969	5.889999866	4.110000134	2.599999905	10.47000027	-2.960000038	0	46	54	0.06402	2730
0	66	2	2	121.6600037	97.52999878	114.5500031	118.8700027	15.59000015	18.45000076	28.94000053	4.019999981	3.25	3.730000019	10.47999954	-5.659999847	0	46	54	0.06402	2730
1	5	0	23	39.86999893	95.75	50.02999878	133.8500061	18.79999924	17.54000092	27.70999908	5.670000076	1.899999976	2.5	8.56000042	-3.390000105	18	46	36	0.05702	3170
0	45	0	23	60.18999863	134.6199951	160.7799988	75.69000244	18.01000023	17.85000038	27.12000084	4.889999866	4.119999886	2.730000019	10.02000046	-4.809999943	999	999	999	999	3150
